Time (ms), eCO2 density (ppm)
165243,400.0
165347,400.0
165453,400.0
165553,400.0
165653,400.0
165753,400.0
165853,400.0
165963,400.0
166062,400.0
166162,400.0
166262,400.0
166362,400.0
166472,400.0
166572,400.0
166675,400.0
166782,400.0
166882,400.0
166981,400.0
167081,400.0
167181,400.0
167291,400.0
167391,400.0
167491,400.0
167591,400.0
167691,400.0
167801,400.0
167901,400.0
168004,400.0
168111,400.0
168210,400.0
168310,400.0
168410,400.0
168514,400.0
168620,400.0
168720,400.0
168820,400.0
168920,400.0
169020,400.0
169129,400.0
169229,400.0
169333,400.0
169439,400.0
169539,400.0
169649,400.0
169749,400.0
169853,400.0
169959,400.0
170059,400.0
170159,400.0
170259,400.0
170358,400.0
170468,400.0
170568,400.0
170668,400.0
170768,400.0
170868,400.0
170978,400.0
171078,400.0
171181,400.0
171288,400.0
171388,400.0
171488,400.0
171587,400.0
171691,400.0
171797,400.0
171897,400.0
171997,400.0
172097,400.0
172197,400.0
172307,400.0
172407,400.0
172510,400.0
172617,400.0
172726,400.0
172836,400.0
172936,400.0
173039,400.0
173146,400.0
173246,400.0
173346,400.0
173446,400.0
173546,400.0
173655,400.0
173755,400.0
173855,400.0
173955,400.0
174055,400.0
174165,400.0
174265,400.0
174368,400.0
174474,400.0
174574,400.0
174674,400.0
174774,400.0
174878,400.0
174984,400.0
175084,400.0
175184,400.0
175284,400.0
175384,400.0
175494,400.0
175594,400.0
175697,400.0
175804,400.0
175903,400.0
176003,400.0
176103,400.0
176207,400.0
176313,400.0
176413,400.0
176513,400.0
176613,400.0
176713,400.0
176823,400.0
176922,400.0
177022,400.0
177122,400.0
177222,400.0
177332,400.0
177432,400.0
177535,400.0
177641,400.0
177741,400.0
177841,400.0
177941,400.0
178041,400.0
178151,400.0
178251,400.0
178351,400.0
178451,400.0
178551,400.0
178661,400.0
178761,400.0
178864,400.0
178970,400.0
179070,400.0
179170,400.0
179270,400.0
179381,400.0
179490,400.0
179590,400.0
179690,400.0
179790,400.0
179890,400.0
180000,400.0
180099,400.0
180203,400.0
180309,400.0
180409,400.0
180519,400.0
180619,400.0
180722,400.0
180829,400.0
180929,400.0
181029,400.0
181129,400.0
181228,400.0
181338,400.0
181438,400.0
181538,400.0
181638,400.0
181738,400.0
181848,400.0
181948,400.0
182051,400.0
182157,400.0
182257,400.0
182357,400.0
182457,400.0
182561,400.0
182667,400.0
182767,400.0
182867,400.0
182967,400.0
183067,400.0
183177,400.0
183277,400.0
183380,400.0
183486,400.0
183586,400.0
183686,400.0
183786,400.0
183889,400.0
183996,400.0
184096,400.0
184196,400.0
184296,400.0
184395,400.0
184506,400.0
184615,400.0
184715,400.0
184815,400.0
184915,400.0
185025,400.0
185125,400.0
185228,400.0
185334,400.0
185434,400.0
185534,400.0
185634,400.0
185734,400.0
185844,400.0
185944,400.0
186044,400.0
186144,400.0
186244,400.0
186354,400.0
186454,400.0
186557,400.0
186663,400.0
186763,400.0
186863,400.0
186963,400.0
187067,400.0
187173,400.0
187273,400.0
187373,400.0
187473,400.0
187573,400.0
187683,400.0
187782,400.0
187885,400.0
187992,400.0
188092,400.0
188202,400.0
188302,400.0
188405,400.0
188511,400.0
188611,400.0
188711,400.0
188811,400.0
188911,400.0
189021,400.0
189121,400.0
189221,400.0
189321,400.0
189421,400.0
189531,400.0
189631,400.0
189734,400.0
189840,400.0
189940,400.0
190040,400.0
190140,400.0
190244,400.0
190350,400.0
190450,400.0
190550,400.0
190650,400.0
190750,400.0
190860,400.0
190959,400.0
191063,400.0
191169,400.0
191269,400.0
191379,400.0
191479,400.0
191582,400.0
191688,400.0
191788,400.0
191888,400.0
191988,400.0
192088,400.0
192198,400.0
192298,400.0
192398,400.0
192498,400.0
192598,400.0
192708,400.0
192808,400.0
192911,400.0
193017,400.0
193117,400.0
193217,400.0
193317,400.0
193417,400.0
193527,400.0
193627,400.0
193727,400.0
193827,400.0
193927,400.0
194037,400.0
194136,400.0
194240,400.0
194346,400.0
194446,400.0
194546,400.0
194646,400.0
194749,400.0
194856,400.0
194956,400.0
195056,400.0
195155,400.0
195255,400.0
195365,400.0
195465,400.0
195569,400.0
195675,400.0
195775,400.0
195885,400.0
195985,400.0
196088,400.0
196194,400.0
196294,400.0
196394,400.0
196494,400.0
196594,400.0
196704,400.0
196804,400.0
196904,400.0
197004,400.0
197104,400.0
197214,400.0
197313,400.0
197417,400.0
197523,400.0
197623,400.0
197723,400.0
197823,400.0
197927,400.0
198033,400.0
198133,400.0
198233,400.0
198333,400.0
198432,400.0
198542,400.0
198642,400.0
198745,400.0
198852,400.0
198952,400.0
199062,400.0
199162,400.0
199265,400.0
199371,400.0
199471,400.0
199571,400.0
199671,400.0
199771,400.0
199881,400.0
199981,400.0
200081,400.0
200181,400.0
200281,400.0
200391,400.0
200491,400.0
200594,400.0
200700,400.0
200800,400.0
200900,400.0
201000,400.0
201104,400.0
201210,400.0
201310,400.0
201409,400.0
201509,400.0
201609,400.0
201719,400.0
201819,400.0
201923,400.0
202029,400.0
202129,400.0
202229,400.0
202329,400.0
202432,400.0
202538,400.0
202638,400.0
202738,400.0
202838,400.0
202938,400.0
203048,400.0
203148,400.0
203248,400.0
203348,400.0
203448,400.0
203558,400.0
203658,400.0
203761,400.0
203867,400.0
203967,400.0
204067,400.0
204167,400.0
204267,400.0
204377,400.0
204477,400.0
204577,400.0
204677,400.0
204777,400.0
204886,400.0
204986,400.0
205089,400.0
205196,400.0
205296,400.0
205396,400.0
205496,400.0
205599,400.0
205705,400.0
205805,400.0
205905,400.0
206005,400.0
206105,400.0
206215,400.0
206315,400.0
206419,400.0
206525,400.0
206625,400.0
206735,400.0
206835,400.0
206938,400.0
