Time (ms), Y Acceleration (g)
14997031,0.046875
14997131,0.05224609375
14997241,0.04638671875
14997341,0.04345703125
14997441,0.0400390625
14997541,0.04052734375
14997641,0.04150390625
14997750,0.0439453125
14997851,0.044921875
14997950,0.046875
14998059,0.037109375
14998160,0.04296875
14998269,0.052734375
14998370,0.05078125
14998470,0.04833984375
14998579,0.0341796875
14998679,0.04833984375
14998779,0.05029296875
14998879,0.0419921875
14998979,0.044921875
14999088,0.04833984375
14999189,0.04296875
14999289,0.04833984375
14999388,0.04443359375
14999488,0.05029296875
14999598,0.04052734375
14999698,0.0419921875
14999798,0.05615234375
14999907,0.04541015625
15000008,0.0458984375
15000108,0.04443359375
15000208,0.0498046875
15000307,0.048828125
15000416,0.0458984375
15000517,0.04296875
15000617,0.0380859375
15000717,0.046875
15000817,0.04248046875
15000926,0.046875
15001027,0.044921875
15001126,0.0478515625
15001235,0.04248046875
15001336,0.0419921875
15001445,0.0400390625
15001546,0.04248046875
15001646,0.048828125
15001755,0.0498046875
15001855,0.0478515625
15001955,0.04150390625
15002055,0.0458984375
15002155,0.044921875
15002264,0.0556640625
15002365,0.044921875
15002465,0.0419921875
15002564,0.046875
15002664,0.04541015625
15002774,0.0419921875
15002874,0.046875
15002974,0.046875
15003083,0.04931640625
15003184,0.04541015625
15003284,0.04052734375
15003383,0.04833984375
15003483,0.0498046875
15003593,0.044921875
15003693,0.05224609375
15003793,0.04833984375
15003893,0.046875
15003993,0.048828125
15004102,0.04052734375
15004203,0.05322265625
15004302,0.04345703125
15004411,0.04638671875
15004512,0.04833984375
15004616,0.04150390625
15004712,0.041015625
15004812,0.04150390625
15004921,0.04638671875
15005021,0.0458984375
15005121,0.0390625
15005221,0.0478515625
15005321,0.05419921875
15005430,0.04345703125
15005531,0.05224609375
15005631,0.044921875
15005740,0.0458984375
15005840,0.03955078125
15005950,0.0380859375
15006050,0.0400390625
15006150,0.0400390625
15006259,0.0439453125
15006360,0.05224609375
15006460,0.05322265625
15006559,0.03857421875
15006659,0.04052734375
15006769,0.0439453125
15006869,0.05029296875
15006969,0.0439453125
