Time (ms), Z Acceleration (g)
8495487,-0.1044921875
8495597,-0.11572265625
8495697,-0.1201171875
8495797,-0.1240234375
8495897,-0.125
8495997,-0.12109375
8496106,-0.11669921875
8496206,-0.125
8496306,-0.1123046875
8496416,-0.126953125
8496516,-0.11572265625
8496616,-0.1201171875
8496716,-0.12109375
8496816,-0.1064453125
8496925,-0.1259765625
8497025,-0.109375
8497125,-0.11962890625
8497225,-0.10107421875
8497325,-0.10009765625
8497435,-0.1123046875
8497535,-0.1201171875
8497635,-0.10693359375
8497745,-0.111328125
8497844,-0.11083984375
8497944,-0.11767578125
8498044,-0.1123046875
8498144,-0.1259765625
8498254,-0.1328125
8498354,-0.11962890625
8498453,-0.119140625
8498553,-0.111328125
8498653,-0.125
8498763,-0.11962890625
8498863,-0.1162109375
8498963,-0.115234375
8499073,-0.11865234375
8499173,-0.10693359375
8499283,-0.10693359375
8499382,-0.11181640625
8499482,-0.1171875
8499592,-0.11669921875
8499692,-0.126953125
8499792,-0.1171875
8499892,-0.11083984375
8499992,-0.10693359375
8500102,-0.1142578125
8500201,-0.1083984375
8500301,-0.1123046875
8500401,-0.126953125
8500501,-0.115234375
8500611,-0.11767578125
8500711,-0.1162109375
8500811,-0.111328125
8500921,-0.11767578125
8501020,-0.12109375
8501120,-0.11962890625
8501220,-0.10791015625
8501320,-0.123046875
8501440,-0.11181640625
8501540,-0.10791015625
8501640,-0.11865234375
8501739,-0.1142578125
8501839,-0.1171875
8501949,-0.1171875
8502049,-0.109375
8502149,-0.12060546875
8502259,-0.1123046875
8502359,-0.1171875
8502469,-0.10888671875
8502568,-0.123046875
8502668,-0.12255859375
8502778,-0.12158203125
8502878,-0.09912109375
8502978,-0.1171875
8503078,-0.11767578125
8503178,-0.119140625
8503288,-0.09912109375
8503387,-0.11181640625
8503487,-0.1201171875
8503587,-0.1220703125
8503687,-0.12548828125
8503797,-0.12939453125
8503897,-0.11865234375
8503997,-0.13330078125
8504107,-0.12158203125
8504206,-0.12060546875
8504306,-0.111328125
8504406,-0.111328125
8504506,-0.12451171875
8504616,-0.10791015625
8504716,-0.126953125
8504816,-0.12939453125
8504915,-0.10888671875
8505015,-0.12255859375
8505125,-0.1220703125
8505225,-0.11669921875
8505325,-0.1162109375
8505435,-0.126953125
8505535,-0.1123046875
8505635,-0.1123046875
8505734,-0.109375
8505834,-0.1171875
8505944,-0.11328125
8506044,-0.11767578125
8506144,-0.12060546875
8506244,-0.11376953125
