Date    ,Time    ,Latitude  ,Longitude ,Head,Km/h,Alt-m  ,Lock,  ,Temp C,Pa    ,
02/28/35,16:13:54,+034.61782,-117.92128,0229,0046,+005445,0003,  ,-011.5,052833,
02/28/35,16:14:00,+034.61742,-117.92198,0234,0051,+005475,0003,  ,-011.5,052383,
02/28/35,16:14:06,+034.61699,-117.92259,0227,0042,+005512,0003,  ,-011.8,051064,
02/28/35,16:14:12,+034.61656,-117.92336,0242,0055,+005547,0003,  ,-012.1,052112,
02/28/35,16:14:18,+034.61612,-117.92409,0229,0044,+005582,0003,  ,-012.5,051880,
02/28/35,16:14:24,+034.61589,-117.92458,0239,0033,+005609,0003,  ,-012.5,050528,
02/28/35,16:14:30,+034.61557,-117.92513,0224,0038,+005639,0003,  ,-012.6,050105,
02/28/35,16:14:36,+034.61524,-117.92575,0248,0033,+005675,0003,  ,-013.0,050233,
02/28/35,16:14:42,+034.61488,-117.92609,0210,0031,+005711,0003,  ,-013.3,051007,
02/28/35,16:14:48,+034.61447,-117.92654,0236,0038,+005743,0003,  ,-013.6,050782,
02/28/35,16:14:54,+034.61422,-117.92701,0233,0027,+005783,0003,  ,-014.0,050539,
02/28/35,16:15:00,+034.61385,-117.92728,0211,0033,+005817,0003,  ,-014.2,050308,
02/28/35,16:15:06,+034.61353,-117.92773,0241,0033,+005856,0003,  ,-014.8,050052,
02/28/35,16:15:12,+034.61339,-117.92813,0248,0022,+005884,0003,  ,-015.0,049738,
02/28/35,16:15:18,+034.61323,-117.92840,0240,0014,+005914,0003,  ,-015.0,048356,
02/28/35,16:15:24,+034.61300,-117.92878,0221,0027,+005946,0003,  ,-015.1,049210,
02/28/35,16:15:30,+034.61269,-117.92902,0207,0024,+005973,0001,  ,-015.5,048959,
02/28/35,16:15:36,+034.61257,-117.92931,0230,0029,+006000,0003,  ,-015.8,048168,
02/28/35,16:15:42,+034.61228,-117.92951,0195,0014,+006036,0003,  ,-016.0,048514,
02/28/35,16:15:48,+034.61221,-117.92972,0253,0020,+006072,0003,  ,-016.4,048660,
02/28/35,16:15:54,+034.61198,-117.93002,0195,0020,+006106,0003,  ,-016.6,048465,
02/28/35,16:16:00,+034.61175,-117.93011,0226,0012,+006144,0003,  ,-016.7,046948,
02/28/35,16:16:06,+034.61144,-117.93026,0182,0025,+006177,0003,  ,-017.1,047936,
02/28/35,16:16:12,+034.61121,-117.93024,0178,0007,+006212,0003,  ,-017.4,047717,
02/28/35,16:16:18,+034.61105,-117.93029,0192,0020,+006245,0003,  ,-018.0,047586,
02/28/35,16:16:24,+034.61087,-117.93023,0168,0005,+006280,0003,  ,-018.0,046450,
02/28/35,16:16:30,+034.61075,-117.93027,0204,0014,+006321,0003,  ,-018.5,047075,
02/28/35,16:16:36,+034.61050,-117.93026,0156,0014,+006354,0003,  ,-018.5,045811,
02/28/35,16:16:42,+034.61039,-117.93020,0168,0007,+006390,0003,  ,-018.6,045709,
02/28/35,16:16:48,+034.61020,-117.93031,0206,0018,+006417,0003,  ,-019.1,046517,
02/28/35,16:16:54,+034.61008,-117.93042,0233,0011,+006433,0003,  ,-019.4,046393,
02/28/35,16:17:00,+034.61008,-117.93047,0053,0005,+006467,0003,  ,-019.5,045055,
02/28/35,16:17:06,+034.60995,-117.93047,0216,0011,+006503,0003,  ,-020.1,045961,
02/28/35,16:17:12,+034.60996,-117.93054,0342,0001,+006539,0003,  ,-020.1,044830,
02/28/35,16:17:18,+034.60989,-117.93056,0240,0009,+006575,0003,  ,-020.5,045579,
02/28/35,16:17:24,+034.60975,-117.93073,0207,0012,+006603,0003,  ,-020.5,044211,
02/28/35,16:17:30,+034.60965,-117.93068,0179,0009,+006632,0003,  ,-020.6,043949,
