Time (ms), X Mangetometer (uT)
2778057,-9.452363014221191
2778157,-8.102025985717773
2778277,-7.501875400543213
2778357,-8.252062797546387
2778427,-5.101275444030762
2778557,-6.601650238037109
2778657,-7.651913166046143
2778756,-7.05176305770874
2778846,-7.951988220214844
2778956,-7.801950454711914
2779026,-7.801950454711914
2779146,-7.651913166046143
2779256,-6.301575660705566
2779356,-7.951988220214844
2779456,-6.151537895202637
2779556,-8.102025985717773
2779666,-7.05176305770874
2779756,-6.9017252922058105
2779856,-6.9017252922058105
2779906,-7.501875400543213
2780056,-7.801950454711914
2780165,-7.651913166046143
2780202,-8.252062797546387
2780375,-9.002250671386719
2780455,-6.9017252922058105
2780515,-7.201800346374512
2780615,-7.201800346374512
2780755,-7.501875400543213
2780805,-7.801950454711914
2780955,-6.151537895202637
2781054,-7.501875400543213
2781164,-7.501875400543213
2781254,-9.452363014221191
2781354,-7.651913166046143
2781454,-8.70217514038086
2781584,-7.651913166046143
2781674,-6.601650238037109
2781764,-7.651913166046143
2781824,-8.102025985717773
2781954,-8.102025985717773
2782023,-7.201800346374512
2782154,-6.001500606536865
2782254,-8.552138328552246
2782354,-7.501875400543213
2782454,-8.252062797546387
2782583,-7.651913166046143
2782673,-7.651913166046143
2782763,-6.751688003540039
2782853,-6.9017252922058105
2782953,-8.252062797546387
2783063,-7.501875400543213
2783163,-7.501875400543213
2783253,-5.8514628410339355
2783353,-6.301575660705566
2783402,-8.102025985717773
2783582,-7.501875400543213
2783672,-7.951988220214844
2783762,-8.102025985717773
2783862,-7.951988220214844
2783962,-8.102025985717773
2784082,-8.102025985717773
2784172,-8.252062797546387
2784262,-7.501875400543213
2784302,-6.9017252922058105
2784462,-9.002250671386719
2784582,-7.651913166046143
2784671,-8.252062797546387
2784762,-8.252062797546387
2784861,-7.951988220214844
2784961,-6.9017252922058105
2785061,-8.252062797546387
2785161,-8.852212905883789
2785261,-6.9017252922058105
2785361,-8.252062797546387
2785461,-7.801950454711914
2785581,-7.201800346374512
2785671,-8.102025985717773
2785761,-7.501875400543213
2785881,-7.651913166046143
2785960,-8.102025985717773
2786060,-9.002250671386719
2786160,-7.201800346374512
2786260,-8.252062797546387
2786360,-8.70217514038086
2786460,-6.751688003540039
2786570,-6.601650238037109
2786660,-7.801950454711914
2786760,-7.201800346374512
2786860,-6.9017252922058105
2786960,-7.801950454711914
2787002,-6.151537895202637
2787160,-9.002250671386719
2787259,-5.251312732696533
2787359,-7.201800346374512
2787429,-7.951988220214844
2787559,-6.751688003540039
2787659,-7.651913166046143
2787779,-7.05176305770874
2787859,-6.751688003540039
2787959,-8.252062797546387
2788089,-7.05176305770874
2788178,-6.751688003540039
2788208,-6.601650238037109
2788358,-7.951988220214844
2788478,-8.552138328552246
2788558,-6.9017252922058105
2788658,-6.151537895202637
2788758,-6.9017252922058105
2788858,-8.102025985717773
2788958,-8.70217514038086
2789058,-8.102025985717773
2789157,-8.70217514038086
2789258,-7.201800346374512
2789357,-7.501875400543213
2789458,-7.651913166046143
2789557,-8.852212905883789
2789657,-6.9017252922058105
2789707,-7.201800346374512
2789857,-7.501875400543213
2789957,-6.601650238037109
2790087,-7.201800346374512
2790177,-8.852212905883789
2790267,-8.70217514038086
2790356,-7.05176305770874
2790457,-8.102025985717773
2790586,-7.201800346374512
2790666,-8.252062797546387
2790756,-6.751688003540039
2790806,-7.951988220214844
2790956,-7.651913166046143
2791056,-7.951988220214844
2791156,-8.102025985717773
2791256,-7.651913166046143
2791356,-8.552138328552246
2791456,-7.201800346374512
2791556,-6.751688003540039
2791656,-8.102025985717773
2791745,-5.701425552368164
2791856,-8.102025985717773
2791955,-7.951988220214844
2792055,-7.501875400543213
2792155,-8.252062797546387
2792215,-7.801950454711914
2792305,-6.601650238037109
2792475,-8.252062797546387
2792585,-7.201800346374512
2792655,-7.201800346374512
2792725,-8.102025985717773
2792845,-7.651913166046143
2792904,-6.751688003540039
2793015,-7.951988220214844
2793134,-6.9017252922058105
2793254,-7.501875400543213
2793314,-8.852212905883789
2793414,-9.152288436889648
2793514,-8.552138328552246
2793654,-5.8514628410339355
2793754,-7.201800346374512
2793854,-6.301575660705566
2793954,-7.951988220214844
2794084,-7.501875400543213
