Time (ms), X Acceleration (g)
2978402,-0.96533203125
2978577,-0.96728515625
2978602,-0.9677734375
2978702,-0.9677734375
2978837,-0.9638671875
2978902,-0.958984375
2979005,-0.970703125
2979103,-0.9677734375
2979202,-0.96533203125
2979302,-0.96923828125
2979402,-0.9697265625
2979566,-0.96484375
2979602,-0.9677734375
2979716,-0.96875
2979802,-0.958984375
2979902,-0.9755859375
2980030,-0.9599609375
2980116,-0.96044921875
2980255,-0.9697265625
2980375,-0.9775390625
2980402,-0.96630859375
2980545,-0.96630859375
2980602,-0.96728515625
2980702,-0.9658203125
2980802,-0.96142578125
2980902,-0.96337890625
2981005,-0.96923828125
2981111,-0.9697265625
2981204,-0.9697265625
2981302,-0.974609375
2981402,-0.966796875
2981544,-0.96240234375
2981664,-0.96435546875
2981702,-0.97705078125
2981802,-0.9609375
2981902,-0.95849609375
2982005,-0.96728515625
2982109,-0.96728515625
2982202,-0.9638671875
2982302,-0.966796875
2982413,-0.9658203125
2982530,-0.96923828125
2982613,-0.96142578125
2982703,-0.9638671875
2982843,-0.96875
2982923,-0.96630859375
2983018,-0.9677734375
2983106,-0.970703125
2983272,-0.96435546875
2983322,-0.96923828125
2983402,-0.96533203125
2983504,-0.9638671875
2983609,-0.9697265625
2983702,-0.96435546875
2983802,-0.9755859375
2983902,-0.966796875
2984081,-0.966796875
2984102,-0.9697265625
2984261,-0.96923828125
2984302,-0.97314453125
2984441,-0.96142578125
2984504,-0.9658203125
2984607,-0.97412109375
2984702,-0.96533203125
2984840,-0.9638671875
2984902,-0.9638671875
2985005,-0.9765625
2985106,-0.96337890625
2985202,-0.9697265625
2985302,-0.9658203125
2985402,-0.9658203125
2985505,-0.96728515625
2985605,-0.966796875
2985702,-0.97412109375
2985802,-0.9755859375
2985902,-0.96826171875
2986003,-0.9697265625
2986107,-0.9619140625
2986202,-0.96630859375
2986302,-0.96337890625
2986402,-0.9658203125
2986530,-0.966796875
2986619,-0.9658203125
2986738,-0.9619140625
2986802,-0.97021484375
2986902,-0.9677734375
2987097,-0.974609375
