Time (ms), Z Gyro (deg per sec)
89444,-0.24390244483947754
89564,-0.3048780560493469
89654,-0.3048780560493469
89744,-0.24390244483947754
89844,-0.18292683362960815
89944,-0.3048780560493469
90054,-0.18292683362960815
90153,-0.18292683362960815
90202,-0.24390244483947754
90343,-0.24390244483947754
90443,-0.18292683362960815
90553,-0.18292683362960815
90653,-0.3048780560493469
90743,-0.3658536672592163
90843,-0.24390244483947754
90943,-0.3048780560493469
91023,-0.3048780560493469
91152,-0.24390244483947754
91223,-0.3048780560493469
91342,-0.18292683362960815
91472,-0.24390244483947754
91552,-0.24390244483947754
91652,-0.3048780560493469
91742,-0.3048780560493469
91822,-0.3048780560493469
91912,-0.3658536672592163
92052,-0.3048780560493469
92162,-0.3658536672592163
92252,-0.3048780560493469
92331,-0.3658536672592163
92462,-0.24390244483947754
92552,-0.3048780560493469
92651,-0.3658536672592163
92751,-0.3048780560493469
92851,-0.24390244483947754
92951,-0.3048780560493469
93051,-0.3048780560493469
93151,-0.18292683362960815
93221,-0.24390244483947754
93351,-0.18292683362960815
93450,-0.3048780560493469
93561,-0.24390244483947754
93651,-0.24390244483947754
93750,-0.3048780560493469
93850,-0.24390244483947754
93950,-0.3048780560493469
94050,-0.3048780560493469
94150,-0.24390244483947754
94250,-0.4268292784690857
94350,-0.24390244483947754
94430,-0.24390244483947754
94550,-0.3658536672592163
94650,-0.24390244483947754
94720,-0.24390244483947754
94850,-0.3658536672592163
94902,-0.24390244483947754
95049,-0.3658536672592163
95149,-0.24390244483947754
95249,-0.24390244483947754
95349,-0.3048780560493469
95449,-0.18292683362960815
95529,-0.24390244483947754
95649,-0.24390244483947754
95729,-0.24390244483947754
95848,-0.24390244483947754
95948,-0.18292683362960815
96078,-0.18292683362960815
96168,-0.3048780560493469
96228,-0.3048780560493469
96368,-0.18292683362960815
96448,-0.18292683362960815
96578,-0.24390244483947754
96668,-0.18292683362960815
96758,-0.3048780560493469
96848,-0.3048780560493469
96948,-0.18292683362960815
97047,-0.24390244483947754
97148,-0.3658536672592163
97248,-0.18292683362960815
97347,-0.3048780560493469
97417,-0.24390244483947754
97547,-0.3048780560493469
97647,-0.3048780560493469
97747,-0.24390244483947754
97847,-0.24390244483947754
97947,-0.3048780560493469
98047,-0.18292683362960815
98147,-0.3658536672592163
98246,-0.3048780560493469
98316,-0.3048780560493469
98456,-0.3048780560493469
98566,-0.18292683362960815
98656,-0.3658536672592163
98746,-0.3048780560493469
98856,-0.3048780560493469
98946,-0.3658536672592163
99076,-0.24390244483947754
99166,-0.24390244483947754
99256,-0.3048780560493469
99346,-0.24390244483947754
99446,-0.3048780560493469
99576,-0.3658536672592163
99655,-0.3658536672592163
99775,-0.3658536672592163
99802,-0.24390244483947754
99945,-0.3658536672592163
100075,-0.3048780560493469
100165,-0.24390244483947754
100255,-0.18292683362960815
100345,-0.24390244483947754
100445,-0.3048780560493469
100502,-0.24390244483947754
100644,-0.3048780560493469
100714,-0.24390244483947754
100844,-0.24390244483947754
100944,-0.3048780560493469
101002,-0.24390244483947754
101144,-0.24390244483947754
101244,-0.3658536672592163
101344,-0.3048780560493469
101424,-0.3048780560493469
101554,-0.18292683362960815
101654,-0.3658536672592163
101744,-0.3048780560493469
101844,-0.18292683362960815
101944,-0.3658536672592163
102014,-0.24390244483947754
102143,-0.3658536672592163
102203,-0.24390244483947754
102343,-0.3048780560493469
102443,-0.3048780560493469
102543,-0.24390244483947754
102633,-0.24390244483947754
102743,-0.3048780560493469
102813,-0.24390244483947754
102943,-0.24390244483947754
103052,-0.24390244483947754
103152,-0.18292683362960815
103242,-0.24390244483947754
103303,-0.24390244483947754
103462,-0.3048780560493469
103552,-0.24390244483947754
103652,-0.24390244483947754
103752,-0.3048780560493469
103872,-0.3658536672592163
103952,-0.3048780560493469
104052,-0.3048780560493469
104151,-0.24390244483947754
104252,-0.24390244483947754
104351,-0.24390244483947754
104451,-0.3048780560493469
104591,-0.3048780560493469
104611,-0.3048780560493469
104751,-0.3658536672592163
104811,-0.18292683362960815
104921,-0.3048780560493469
105051,-0.3048780560493469
105151,-0.3048780560493469
105251,-0.24390244483947754
105341,-0.3048780560493469
105450,-0.24390244483947754
105550,-0.24390244483947754
105650,-0.18292683362960815
105750,-0.24390244483947754
105850,-0.24390244483947754
105950,-0.18292683362960815
106080,-0.3048780560493469
106160,-0.24390244483947754
106250,-0.3658536672592163
106350,-0.3048780560493469
106439,-0.24390244483947754
106549,-0.3048780560493469
106650,-0.12195122241973877
106749,-0.3048780560493469
106849,-0.24390244483947754
106949,-0.18292683362960815
107079,-0.3048780560493469
107169,-0.24390244483947754
107259,-0.3048780560493469
107349,-0.24390244483947754
107449,-0.24390244483947754
107502,-0.18292683362960815
107658,-0.18292683362960815
107748,-0.3048780560493469
107848,-0.3048780560493469
107948,-0.12195122241973877
108078,-0.18292683362960815
108168,-0.3048780560493469
108278,-0.24390244483947754
108348,-0.3658536672592163
108448,-0.18292683362960815
108548,-0.24390244483947754
108648,-0.24390244483947754
108748,-0.24390244483947754
108848,-0.3048780560493469
108918,-0.24390244483947754
109048,-0.24390244483947754
109157,-0.24390244483947754
109247,-0.12195122241973877
109327,-0.24390244483947754
109447,-0.18292683362960815
109547,-0.3048780560493469
109647,-0.24390244483947754
109747,-0.3048780560493469
109847,-0.24390244483947754
109957,-0.24390244483947754
110047,-0.24390244483947754
110156,-0.3048780560493469
110202,-0.3048780560493469
110346,-0.3048780560493469
110446,-0.18292683362960815
110546,-0.3048780560493469
110646,-0.24390244483947754
110746,-0.18292683362960815
110866,-0.3048780560493469
110906,-0.24390244483947754
111046,-0.18292683362960815
111146,-0.3658536672592163
111265,-0.3048780560493469
111346,-0.3048780560493469
111405,-0.18292683362960815
111575,-0.18292683362960815
111655,-0.24390244483947754
111745,-0.18292683362960815
111845,-0.3048780560493469
111945,-0.3048780560493469
112025,-0.3048780560493469
112155,-0.24390244483947754
112245,-0.3048780560493469
112345,-0.3048780560493469
112445,-0.24390244483947754
112555,-0.3048780560493469
112655,-0.24390244483947754
112744,-0.24390244483947754
112844,-0.3048780560493469
112944,-0.3048780560493469
113074,-0.3658536672592163
113124,-0.18292683362960815
113274,-0.3048780560493469
113344,-0.18292683362960815
113444,-0.3048780560493469
