Time (ms), Z Mangetometer (uT)
636187,-37.20930099487305
636267,-37.20930099487305
636377,-36.90922927856445
636477,-38.409603118896484
636502,-38.109527587890625
636687,-37.65941619873047
636777,-38.109527587890625
636876,-39.0097541809082
636902,-37.05926513671875
637076,-37.809452056884766
637186,-37.05926513671875
637276,-39.1597900390625
637376,-36.90922927856445
637406,-38.85971450805664
637606,-37.65941619873047
637696,-38.25956344604492
637786,-38.409603118896484
637876,-38.85971450805664
637946,-37.05926513671875
638076,-37.35934066772461
638176,-38.25956344604492
638275,-38.109527587890625
638302,-36.90922927856445
638445,-38.55963897705078
638605,-39.3098258972168
638695,-37.65941619873047
638785,-37.65941619873047
638875,-37.65941619873047
638975,-38.25956344604492
639075,-37.95949172973633
639185,-37.20930099487305
639275,-35.85896682739258
639375,-38.55963897705078
639475,-37.20930099487305
639545,-36.609153747558594
639675,-38.55963897705078
639774,-37.809452056884766
639844,-39.1597900390625
639974,-40.06001663208008
640084,-38.55963897705078
640184,-39.0097541809082
640214,-38.85971450805664
640364,-36.90922927856445
640474,-39.0097541809082
640604,-37.20930099487305
640694,-37.95949172973633
640783,-38.85971450805664
640873,-37.809452056884766
640973,-38.55963897705078
641083,-37.95949172973633
641183,-36.75918960571289
641273,-37.65941619873047
641303,-37.65941619873047
641473,-39.1597900390625
641543,-38.25956344604492
641673,-40.210052490234375
641773,-37.65941619873047
641853,-37.65941619873047
641943,-38.25956344604492
642002,-39.1597900390625
642123,-38.409603118896484
642243,-39.3098258972168
642302,-37.809452056884766
642473,-37.05926513671875
642582,-38.109527587890625
642682,-38.109527587890625
642742,-37.95949172973633
642852,-37.65941619873047
642982,-37.65941619873047
643102,-37.65941619873047
643192,-38.109527587890625
643202,-37.35934066772461
643382,-38.409603118896484
643482,-38.55963897705078
643502,-36.309078216552734
643681,-37.35934066772461
643782,-39.0097541809082
643851,-38.25956344604492
643981,-37.65941619873047
644081,-38.25956344604492
644181,-37.35934066772461
644281,-37.35934066772461
644381,-38.85971450805664
644481,-39.0097541809082
644531,-37.65941619873047
644681,-38.85971450805664
644781,-39.1597900390625
644881,-38.25956344604492
644931,-36.609153747558594
645081,-38.25956344604492
645180,-38.109527587890625
645280,-37.809452056884766
645330,-39.609901428222656
645480,-39.1597900390625
645600,-37.95949172973633
645610,-38.25956344604492
645780,-37.95949172973633
645880,-37.05926513671875
645960,-38.25956344604492
646080,-37.95949172973633
646180,-37.95949172973633
646280,-36.90922927856445
646380,-37.95949172973633
646460,-38.55963897705078
646560,-36.609153747558594
646679,-37.65941619873047
646779,-37.95949172973633
646849,-38.409603118896484
646979,-38.25956344604492
647089,-36.15903854370117
647179,-37.20930099487305
647279,-39.1597900390625
647379,-37.95949172973633
647419,-36.90922927856445
647609,-37.95949172973633
647699,-36.609153747558594
647789,-38.55963897705078
647809,-39.0097541809082
647979,-38.85971450805664
648078,-37.809452056884766
648178,-38.409603118896484
648228,-38.109527587890625
648378,-37.95949172973633
648478,-36.90922927856445
648578,-38.55963897705078
648678,-37.95949172973633
648778,-37.65941619873047
648828,-38.409603118896484
648918,-37.20930099487305
649058,-36.15903854370117
649138,-37.809452056884766
649277,-39.609901428222656
649378,-36.15903854370117
649477,-38.409603118896484
649577,-38.55963897705078
649677,-37.809452056884766
649777,-38.109527587890625
649802,-37.65941619873047
649902,-37.20930099487305
650107,-37.35934066772461
650197,-38.109527587890625
650287,-38.109527587890625
650347,-37.95949172973633
650477,-37.809452056884766
650607,-37.95949172973633
650697,-37.65941619873047
650787,-37.809452056884766
650877,-38.409603118896484
650977,-38.109527587890625
651076,-37.20930099487305
651176,-37.20930099487305
651276,-37.05926513671875
651302,-38.55963897705078
651406,-38.409603118896484
651606,-39.0097541809082
651696,-38.409603118896484
651706,-37.95949172973633
651876,-37.95949172973633
651976,-38.109527587890625
652076,-38.409603118896484
652175,-37.35934066772461
652275,-37.809452056884766
652325,-39.3098258972168
652465,-39.0097541809082
652505,-38.25956344604492
652675,-38.409603118896484
652775,-37.65941619873047
652875,-38.85971450805664
652975,-38.109527587890625
653035,-38.85971450805664
653175,-38.409603118896484
653275,-38.25956344604492
653375,-36.75918960571289
653474,-37.809452056884766
653584,-39.45986557006836
653684,-37.65941619873047
653775,-39.0097541809082
653874,-39.1597900390625
653974,-37.809452056884766
654084,-38.109527587890625
654184,-37.95949172973633
654274,-36.75918960571289
654374,-37.95949172973633
654454,-37.65941619873047
654584,-38.109527587890625
654684,-36.90922927856445
654704,-39.45986557006836
654804,-37.809452056884766
654953,-38.109527587890625
655043,-37.35934066772461
655183,-37.65941619873047
655273,-37.809452056884766
655373,-39.45986557006836
655423,-37.20930099487305
655583,-38.409603118896484
655683,-38.85971450805664
655773,-36.309078216552734
655873,-38.409603118896484
655973,-38.25956344604492
656083,-37.809452056884766
656183,-37.809452056884766
656273,-37.65941619873047
656373,-37.65941619873047
656473,-38.55963897705078
656612,-37.65941619873047
656782,-38.55963897705078
656852,-38.25956344604492
656982,-38.55963897705078
657112,-38.109527587890625
657282,-39.1597900390625
657382,-37.20930099487305
657482,-37.95949172973633
657532,-37.809452056884766
657642,-36.90922927856445
657781,-38.109527587890625
657881,-38.55963897705078
657981,-36.90922927856445
658051,-36.90922927856445
658161,-37.20930099487305
658251,-37.20930099487305
658381,-37.65941619873047
658481,-37.20930099487305
658581,-38.109527587890625
658681,-37.809452056884766
658781,-37.35934066772461
658881,-37.65941619873047
658981,-37.65941619873047
659101,-37.20930099487305
659191,-36.90922927856445
659281,-37.65941619873047
659381,-37.65941619873047
659480,-37.65941619873047
659580,-37.95949172973633
659680,-37.35934066772461
659780,-37.65941619873047
659850,-37.65941619873047
659980,-37.809452056884766
660080,-39.909976959228516
660190,-36.90922927856445
660210,-38.409603118896484
660380,-38.109527587890625
660480,-38.55963897705078
660610,-37.65941619873047
660779,-38.109527587890625
660879,-39.45986557006836
660979,-38.55963897705078
661049,-37.05926513671875
661179,-38.409603118896484
661279,-37.65941619873047
661379,-38.25956344604492
661469,-38.25956344604492
661559,-38.25956344604492
661639,-38.409603118896484
661769,-38.109527587890625
661802,-37.20930099487305
661979,-36.309078216552734
662108,-37.35934066772461
662199,-37.35934066772461
662288,-38.409603118896484
662378,-37.20930099487305
662478,-38.25956344604492
662608,-37.35934066772461
662698,-37.809452056884766
662788,-38.109527587890625
662878,-38.109527587890625
662978,-38.55963897705078
663078,-36.75918960571289
663178,-37.20930099487305
663228,-38.25956344604492
663378,-37.809452056884766
663477,-37.35934066772461
663578,-37.20930099487305
663677,-36.009002685546875
663777,-37.95949172973633
663802,-37.35934066772461
663977,-36.75918960571289
664097,-39.45986557006836
664187,-37.65941619873047
664277,-38.55963897705078
664307,-37.20930099487305
664447,-36.15903854370117
664607,-38.409603118896484
664697,-39.0097541809082
664787,-38.409603118896484
664817,-37.35934066772461
664977,-39.3098258972168
665106,-37.95949172973633
665196,-37.20930099487305
665286,-37.65941619873047
665346,-38.55963897705078
665476,-37.95949172973633
665576,-36.90922927856445
665676,-37.95949172973633
665776,-38.55963897705078
665876,-38.109527587890625
665976,-36.75918960571289
666056,-37.95949172973633
666176,-37.35934066772461
666276,-36.309078216552734
