Time (ms), Battery Current (A)
603501,0.02170235477387905
604026,0.02284458465874195
604603,0.02741350047290325
605001,0.0125645212829113
605525,-0.005711146164685488
606025,0.005711146164685488
606562,-0.0
607092,-0.011422292329370975
607525,0.0034266875591129065
608025,-0.0022844583727419376
608525,0.013706750236451626
609101,-0.0194178968667984
609600,-0.011422292329370975
610001,-0.0125645212829113
610501,-0.014848980121314526
611001,0.014848980121314526
611513,-0.0262712724506855
612026,-0.01599120907485485
612501,-0.0388357937335968
613025,-0.0331246480345726
613587,-0.0251290425658226
614001,-0.02170235477387905
614566,-0.0376935638487339
615028,-0.0239868126809597
615586,-0.01599120907485485
616025,-0.02170235477387905
616526,-0.0354091040790081
617025,-0.0125645212829113
617605,-0.02969796024262905
618025,-0.0376935638487339
618604,-0.0434047095477581
619025,-0.0011422291863709688
619525,-0.0342668779194355
620013,-0.02170235477387905
620602,-0.0354091040790081
621001,-0.0342668779194355
621501,-0.0239868126809597
622071,-0.0479736253619194
622525,-0.0194178968667984
623101,-0.0194178968667984
623550,-0.0331246480345726
624100,-0.0491158552467823
624579,-0.0342668779194355
625001,-0.0342668779194355
625589,-0.01599120907485485
626099,-0.0628226101398468
626513,-0.0536847747862339
627028,-0.0399780236184597
627501,-0.0422624796628952
628067,-0.036551333963871
628501,-0.0399780236184597
629096,-0.0422624796628952
629606,-0.0411202535033226
630056,-0.0411202535033226
630605,-0.0376935638487339
631025,-0.0331246480345726
631544,-0.044546939432621
632025,-0.061680376529693604
632554,-0.0662492960691452
633073,-0.0434047095477581
633533,-0.0673915222287178
634001,-0.0593959204852581
634525,-0.0628226101398468
635001,-0.0708182081580162
635602,-0.0571114607155323
636026,-0.0788138136267662
636526,-0.0742449015378952
637104,-0.0662492960691452
637525,-0.073102667927742
638001,-0.061680376529693604
638525,-0.0628226101398468
639103,-0.0673915222287178
639569,-0.0593959204852581
640001,-0.0742449015378952
640525,-0.0662492960691452
641001,-0.0902361050248146
641567,-0.0788138136267662
642026,-0.0742449015378952
642501,-0.0776715874671936
643025,-0.0776715874671936
643526,-0.089093878865242
644001,-0.0719604417681694
644555,-0.0925205647945404
645105,-0.076529361307621
645525,-0.0879516527056694
646001,-0.0742449015378952
646584,-0.0742449015378952
647013,-0.0582536906003952
647525,-0.0845249593257904
648001,-0.0948050245642662
648602,-0.0708182081580162
649082,-0.0902361050248146
649501,-0.073102667927742
650025,-0.1073695495724678
650525,-0.0982317104935646
651001,-0.109654001891613
651525,-0.0959472507238388
652001,-0.1073695495724678
652530,-0.0868094190955162
653059,-0.121076300740242
653501,-0.0913783386349678
654001,-0.1073695495724678
654608,-0.1039428561925888
655071,-0.0982317104935646
655501,-0.109654001891613
656001,-0.113080695271492
656525,-0.113080695271492
657025,-0.1187918409705162
657556,-0.1119384616613388
658076,-0.117649607360363
658501,-0.1199340671300888
659025,-0.1187918409705162
659501,-0.109654001891613
660104,-0.1199340671300888
660525,-0.11536514759063721
661074,-0.1187918409705162
661583,-0.1267874389886856
662025,-0.12336075305938721
662525,-0.1222185268998146
663102,-0.1199340671300888
663501,-0.1187918409705162
664013,-0.1245029866695404
664525,-0.121076300740242
665025,-0.11536514759063721
665501,-0.1267874389886856
666080,-0.1245029866695404
666525,-0.1245029866695404
667026,-0.12336075305938721
667549,-0.1267874389886856
668001,-0.117649607360363
668525,-0.1245029866695404
669068,-0.1279296725988388
669501,-0.12336075305938721
670025,-0.1279296725988388
670501,-0.1267874389886856
671107,-0.12336075305938721
671606,-0.12336075305938721
672001,-0.1279296725988388
672526,-0.1267874389886856
673105,-0.1279296725988388
673585,-0.12336075305938721
674094,-0.1267874389886856
674594,-0.1279296725988388
675013,-0.1279296725988388
675603,-0.1256452202796936
676001,-0.1279296725988388
676603,-0.1267874389886856
677026,-0.1279296725988388
677532,-0.1279296725988388
678105,-0.1279296725988388
678526,-0.1279296725988388
679001,-0.1279296725988388
679501,-0.1267874389886856
680025,-0.1279296725988388
680525,-0.1279296725988388
681013,-0.1279296725988388
681589,-0.1279296725988388
682025,-0.1279296725988388
682598,-0.1279296725988388
683001,-0.1279296725988388
683513,-0.1279296725988388
684025,-0.1279296725988388
684501,-0.1279296725988388
685107,-0.1279296725988388
685525,-0.1279296725988388
686036,-0.1279296725988388
686525,-0.1279296725988388
687105,-0.1279296725988388
687525,-0.1279296725988388
688025,-0.1279296725988388
688604,-0.1279296725988388
689001,-0.1279296725988388
689501,-0.1279296725988388
690103,-0.1279296725988388
690501,-0.1279296725988388
691001,-0.1279296725988388
691582,-0.1279296725988388
692001,-0.1279296725988388
692525,-0.1279296725988388
693025,-0.1279296725988388
693501,-0.1279296725988388
694028,-0.1279296725988388
694610,-0.1279296725988388
695025,-0.1279296725988388
695501,-0.1279296725988388
696001,-0.1279296725988388
696501,-0.1279296725988388
697025,-0.1279296725988388
697558,-0.1279296725988388
698025,-0.1279296725988388
698597,-0.1279296725988388
699001,0.0822405070066452
699526,0.076529361307621
700110,0.0845249593257904
700606,0.065107062458992
701105,0.0411202535033226
701501,0.0719604417681694
702025,0.02855573035776615
702501,0.0868094190955162
703104,0.0753871276974678
703525,0.0696759819984436
704093,0.0719604417681694
704513,0.073102667927742
705103,0.0639648362994194
705525,0.0582536906003952
706025,0.061680376529693604
706602,0.0502580851316452
707026,0.073102667927742
707501,0.0468313992023468
708101,0.0833827331662178
708600,0.0708182081580162
709001,0.0856671929359436
709525,0.0662492960691452
710001,0.0628226101398468
710525,0.0742449015378952
711108,0.0548270009458065
711598,0.073102667927742
712013,0.1005161702632904
712537,0.0571114607155323
713001,0.0582536906003952
713566,0.0845249593257904
714001,0.0822405070066452
714501,0.0753871276974678
715086,0.0708182081580162
715513,0.0696759819984436
716105,0.0548270009458065
716501,0.0753871276974678
717026,0.073102667927742
717588,0.068533755838871
718001,0.097089484333992
718501,0.0479736253619194
719001,0.073102667927742
719602,0.0868094190955162
720025,0.0799560472369194
720525,0.068533755838871
721025,0.0753871276974678
721501,0.0742449015378952
722026,0.097089484333992
722531,0.076529361307621
723001,0.089093878865242
723501,0.0776715874671936
724001,0.1028006300330162
724549,0.076529361307621
725001,0.0788138136267662
